period,camp_start_date,camp_end_date,backend_current_count,survey_completed_count,survey_fill_rate_computed,age_judgeable_count,age_judgement_rate_computed,target_age_fit_count_cached,target_age_fit_count_formula,target_age_fit_count_computed,target_age_fit_rate_computed,family_fit_count,family_unfit_count,nonfamily_fit_count,nonfamily_unfit_count,total_unfit_count_computed,only_1980_formula,only_2980_formula,can_3980_formula,cannot_buy_formula,can_2980_formula,data_layer,source_file,source_sheet,source_row,source_col
601期,2026-06-10,2026-06-20,,812,,,,,=K3+O3,573,,302,60,271,84,144,=R3,=L3,=P3,=N3,=L3+P3,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,目标学员率,3,
602期,2026-06-24,2026-07-04,1092,921,0.843407,919,0.997828,,=K4+O4,732,0.796518,275,65,457,122,187,=R4,=L4,=P4,=N4,=L4+P4,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,目标学员率,4,
