period,camp_start_date,camp_end_date,advanced_amount,ltv_cached,ltv_formula,ltv_computed_by_internal_quota,ltv_computed_by_class_quota,ad_cost,cac_cached,cac_formula,cac_computed_by_internal_quota,roi_cached,roi_formula,roi_computed,trial_income,trial_avg_price_cached,trial_avg_price_formula,total_revenue_formula,total_revenue_computed,refund_amount_cached,refund_amount_formula,revival_amount,backend_effective_count,old_student_count,erasable_or_converted_count,non_class_quota,class_total_quota_cached,class_total_quota_formula,class_total_quota_computed,internal_total_quota_cached,internal_total_quota_formula,internal_total_quota_computed,friend_rate,open_rate,group_rate,full_score_count_cached,full_score_count_formula,price_1980_count,price_2980_count,price_3980_count,data_layer,source_file,source_sheet,source_row,source_col
601期,2026-06-10,2026-06-20,319900,,=D3/Y3,,,57820,,=F3/Y3,,,=D3/F3,5.532688,10276.05,,=I3/T3,=D3+I3,330176.05,48680,,0,907,64,,5,,=T3-U3-V3-W3,,,=T3-U3-V3,,0.986,未收集,0.93,,=BG3+BW3+CM3,5,89,11,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,营期整体数据,3,
602期,2026-06-24,2026-07-04,346300,,=D4/Y4,337.853659,338.845401,93922.1,,=F4/Y4,91.631317,,=D4/F4,3.687098,11480.01,,=I4/T4,=D4+I4,357780.01,,=18860,17880,1103,19,59,3,,=T4-U4-V4-W4,1022,,=T4-U4-V4,1025,0.977,0.805,0.944,,=BG4+BW4+CM4,7,92,13,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,营期整体数据,4,
