title,reference,data_layer,source_file,source_sheet,source_row,source_col
【腾讯文档】内驱力营浩明营长直播稿汇总,https://docs.qq.com/aio/DWFVyT2hxQ1pXanNh,supplement_reference,🧡栋梁材项目数据沉淀.xlsx,常用文件,1,
家长如何邀请孩子参加面试的话术,家长如何邀请孩子参加面试的话术,supplement_reference,🧡栋梁材项目数据沉淀.xlsx,常用文件,2,
退费协同办公表,https://doc.weixin.qq.com/sheet/e3_AFoAFgZtAKYPmWBeVNHSZGTxfo3GF?scode=ACMAhAcyAAoKohpqyMAPEAFQZtAKY&tab=tfkxgc,supplement_reference,🧡栋梁材项目数据沉淀.xlsx,常用文件,4,
【腾讯文档】各期进阶课退费率,https://docs.qq.com/sheet/DWGt5eXBIanhSTGNz?tab=30m1tf,supplement_reference,🧡栋梁材项目数据沉淀.xlsx,常用文件,5,
