period,day_or_stage,time_point,ltv_value,formula,is_final_ltv,cutoff_time,data_layer,source_file,source_sheet,source_row,source_col
602期,D7,14点,129,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,11
602期,D7,16点,/未出单,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,12
602期,D7,18点,/未出单,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,13
602期,D7,22点,136.7,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,14
602期,D7,23点,142.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,15
602期,D8,10点,145.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,16
602期,D8,14点,162,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,17
602期,D8,16点,180.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,18
602期,D8,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,19
602期,D8,22点,191.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,20
602期,D8,23点,196.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,21
602期,D9,10点,196.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,22
602期,D9,14点,224.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,23
602期,D9,16点,228,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,24
602期,D9,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,25
602期,D9,22点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,26
602期,D9,23点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,27
602期,D10,10点,230.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,28
602期,D10,14点,240.2,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,29
602期,D10,16点,243,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,30
602期,D10,18点,243.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,31
602期,D10,22点,262.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,32
602期,D10,23点,274.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,33
602期,D11,10点,283.8,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,34
602期,D11,14点,296.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,35
602期,D11,16点,299,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,36
602期,D11,18点,302,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,37
602期,D11,22点,311,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,38
602期,D11,23点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,39
602期,D11,24点,319.7,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,40
602期,截单,最终LTV,338.2,,1,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,41
602期,截单,截单时间,D12 上午10点,,0,D12 上午10点,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,42
