campaign_id,class_name,coach,base_count,attended_count,completed_count,advanced_count,status,notes
801,801期30班,晓琳,42,,13,5,actual,
801,801期16班,欣荣,43,,12,4,actual,
801,801期05班,鸽子,36,,8,2,actual,
